Ticker,Company Name,Sector,Price,Change,Change %,Open,High,Low,Volume,Market Cap,Enterprise Value,P/E Ratio,Forward P/E,P/B Ratio,P/S Ratio,PEG Ratio,Revenue,Revenue Growth,Earnings Growth,Quarterly Earnings Growth,Profit Margin,Operating Margin,Gross Margin,ROE,ROA,EPS,Forward EPS,Book Value,Dividend Yield,Payout Ratio,Beta,52-Week High,52-Week Low,Analyst Target,Recommendation,Timestamp
AAPL,Apple Inc.,Technology,"$225.50","$3.25","+1.46%","$223.10","$226.80","$222.50","52,345,678",$3.42T,$3.38T,34.52,32.18,49.23,8.94,2.87,$383.93B,+8.30%,+11.20%,+9.50%,26.44%,30.12%,43.87%,147.36%,22.41%,$6.53,$7.01,$4.58,0.45%,14.90%,1.28,"$237.23","$164.08","$240.00",BUY,2025-11-11 00:35:00
MSFT,Microsoft Corporation,Technology,"$415.75","$5.80","+1.41%","$412.30","$417.90","$411.20","28,934,567",$3.09T,$3.05T,36.84,33.45,12.78,12.34,2.91,$245.12B,+12.40%,+15.60%,+12.30%,36.69%,41.23%,68.91%,45.23%,17.85%,$11.29,$12.43,$32.51,0.72%,25.10%,0.89,"$468.35","$309.45","$480.00",BUY,2025-11-11 00:35:00
NVDA,NVIDIA Corporation,Technology,"$495.25","-$2.15","-0.43%","$498.50","$501.35","$493.80","45,678,234",$1.22T,$1.20T,68.92,55.34,48.67,38.45,1.52,$60.92B,+265.28%,+288.43%,+206.34%,53.40%,57.12%,72.45%,123.45%,41.23%,$7.19,$8.95,$10.17,0.03%,1.80%,1.69,"$974.00","$39.23","$850.00",STRONG BUY,2025-11-11 00:35:00
GOOGL,Alphabet Inc.,Technology,"$167.80","$1.95","+1.18%","$166.20","$168.50","$165.90","23,456,789",$2.05T,$2.02T,27.45,24.89,7.23,6.78,1.89,$307.39B,+13.60%,+42.20%,+28.90%,27.57%,30.45%,56.92%,29.22%,14.56%,$6.11,$6.74,$23.02,N/A,N/A,1.05,"$193.31","$121.46","$190.00",BUY,2025-11-11 00:35:00
META,Meta Platforms Inc.,Technology,"$567.90","$8.45","+1.51%","$562.00","$570.25","$560.80","18,234,567",$1.44T,$1.41T,28.67,25.34,9.45,8.92,1.45,$134.90B,+22.10%,+73.40%,+164.00%,35.64%,40.12%,80.56%,35.67%,18.90%,$19.80,$22.41,$60.09,0.35%,9.80%,1.18,"$638.40","$274.38","$625.00",BUY,2025-11-11 00:35:00
AMZN,Amazon.com Inc.,Technology,"$198.25","$2.75","+1.41%","$196.80","$199.50","$196.20","67,890,123",$2.07T,$2.10T,67.89,48.23,8.34,3.45,2.34,$574.79B,+11.83%,+1203.00%,+54.50%,6.32%,8.90%,47.23%,21.67%,6.78%,$2.92,$4.11,$23.78,N/A,N/A,1.14,"$215.90","$118.35","$225.00",BUY,2025-11-11 00:35:00
JPM,JPMorgan Chase & Co.,Financials,"$215.45","$3.20","+1.51%","$213.50","$216.80","$212.90","12,345,678",$621.45B,$N/A,11.23,10.45,1.89,3.67,N/A,$158.10B,+22.00%,+32.50%,+27.80%,32.45%,N/A,N/A,16.78%,1.23%,$19.19,$20.62,$113.98,2.18%,24.50%,1.12,"$224.56","$135.19","$230.00",BUY,2025-11-11 00:35:00
BAC,Bank of America Corp.,Financials,"$42.35","$0.55","+1.32%","$42.10","$42.70","$41.95","45,678,901",$328.67B,$N/A,12.78,11.23,1.12,2.89,N/A,$97.87B,+3.60%,+18.70%,+15.30%,27.34%,N/A,N/A,11.45%,0.89%,$3.31,$3.77,$37.73,2.45%,31.40%,1.24,"$44.49","$24.96","$46.00",BUY,2025-11-11 00:35:00
UNH,UnitedHealth Group,Healthcare,"$512.80","$6.90","+1.36%","$509.20","$515.60","$507.80","3,456,789",$475.23B,$510.45B,23.45,21.89,5.67,1.45,1.98,$371.62B,+14.60%,+13.20%,+14.10%,6.05%,8.90%,25.67%,28.90%,7.45%,$21.87,$23.42,$90.34,1.42%,33.20%,0.78,"$630.57","$431.36","$590.00",BUY,2025-11-11 00:35:00
JNJ,Johnson & Johnson,Healthcare,"$154.20","$1.10","+0.72%","$153.60","$154.90","$153.20","6,789,012",$371.89B,$389.45B,15.67,14.23,5.89,4.23,N/A,$85.16B,-0.20%,+5.30%,+3.40%,17.23%,25.67%,66.78%,25.34%,10.12%,$9.84,$10.84,$26.17,2.95%,46.30%,0.55,"$168.85","$143.13","$175.00",HOLD,2025-11-11 00:35:00
WMT,Walmart Inc.,Consumer Staples,"$84.55","$0.95","+1.14%","$84.10","$85.20","$83.80","8,901,234",$671.23B,$692.34B,35.67,31.23,8.12,0.78,1.67,$648.12B,+5.43%,+11.70%,+8.90%,2.39%,4.12%,24.56%,23.45%,6.78%,$2.37,$2.71,$10.41,1.32%,47.10%,0.53,"$93.05","$49.85","$95.00",BUY,2025-11-11 00:35:00
HD,Home Depot Inc.,Consumer Discretionary,"$392.45","$4.80","+1.24%","$389.20","$394.30","$388.50","3,234,567",$389.67B,$412.89B,25.89,23.45,N/A,2.45,2.12,$152.67B,+6.80%,+10.20%,+9.50%,10.34%,14.23%,33.45%,N/A,14.56%,$15.16,$16.74,N/A,2.28%,59.00%,1.03,"$420.68","$265.38","$425.00",BUY,2025-11-11 00:35:00
KO,Coca-Cola Company,Consumer Staples,"$65.80","$0.45","+0.69%","$65.60","$66.10","$65.35","14,567,890",$284.56B,$297.89B,27.34,24.67,10.89,6.78,3.45,$45.75B,+8.10%,+7.30%,+5.80%,22.71%,27.89%,60.12%,41.23%,10.34%,$2.41,$2.67,$6.04,2.89%,78.90%,0.58,"$73.53","$51.55","$72.00",HOLD,2025-11-11 00:35:00
XOM,Exxon Mobil Corporation,Energy,"$118.35","$1.85","+1.59%","$117.20","$119.50","$116.90","18,901,234",$492.34B,$534.56B,12.45,11.23,2.12,1.89,1.34,$344.58B,-2.30%,-16.90%,-18.20%,10.57%,12.34%,29.67%,18.90%,8.45%,$9.50,$10.54,$55.81,3.12%,38.90%,1.15,"$126.34","$95.77","$135.00",BUY,2025-11-11 00:35:00
CAT,Caterpillar Inc.,Industrials,"$367.90","$5.20","+1.43%","$365.10","$370.25","$364.50","2,890,123",$184.56B,$201.23B,16.78,15.23,7.89,2.34,1.89,$67.06B,+12.40%,+35.70%,+23.40%,17.23%,19.56%,35.67%,53.45%,12.34%,$21.92,$24.15,$41.06,1.62%,27.20%,1.24,"$414.68","$223.30","$405.00",BUY,2025-11-11 00:35:00
